20x20 grid, p = 0.5, f = 0.25, 500 steps
Ma D	Mi D	Red D	 Blue D	s+	s-
14953	55173	35096	35030	29.906000	110.346000
15284	54977	35085	35176	30.568000	109.954000
15187	54821	35113	34895	30.374000	109.642000
15033	54803	34928	34908	30.066000	109.606000
15109	54786	34978	34917	30.218000	109.572000
15106	54876	34959	35023	30.212000	109.752000
15075	54767	34822	35020	30.150000	109.534000
15147	54730	34851	35026	30.294000	109.460000
15270	54587	34943	34914	30.540000	109.174000
15125	55186	35194	35117	30.250000	110.372000
15290	54398	35017	34671	30.580000	108.796000
15134	54700	34881	34953	30.268000	109.400000
14947	55097	35173	34871	29.894000	110.194000
15179	54801	35016	34964	30.358000	109.602000
15056	54899	34952	35003	30.112000	109.798000
15361	54759	35046	35074	30.722000	109.518000
14884	55474	35107	35251	29.768000	110.948000
15026	54969	35164	34831	30.052000	109.938000
15208	55094	35065	35237	30.416000	110.188000
15221	54548	34974	34795	30.442000	109.096000
15042	54853	34820	35075	30.084000	109.706000
15078	54560	34901	34737	30.156000	109.120000
15131	54605	34907	34829	30.262000	109.210000
15132	54883	34938	35077	30.264000	109.766000
15102	54818	34761	35159	30.204000	109.636000
15084	54456	34678	34862	30.168000	108.912000
15051	55165	35203	35013	30.102000	110.330000
15171	54836	34798	35209	30.342000	109.672000
15018	55077	34929	35166	30.036000	110.154000
15222	54596	35036	34782	30.444000	109.192000
15120	54941	34948	35113	30.240000	109.882000
15195	54892	35187	34900	30.390000	109.784000
15034	55132	35065	35101	30.068000	110.264000
15085	55010	35010	35085	30.170000	110.020000
14962	54799	35018	34743	29.924000	109.598000
15193	54501	34936	34758	30.386000	109.002000
14931	55151	35000	35082	29.862000	110.302000
14944	54653	34760	34837	29.888000	109.306000
14819	54780	34809	34790	29.638000	109.560000
15208	54715	34958	34965	30.416000	109.430000
15247	54973	35014	35206	30.494000	109.946000
14994	54788	34792	34990	29.988000	109.576000
14907	55080	34810	35177	29.814000	110.160000
15024	55360	35053	35331	30.048000	110.720000
15148	54844	34988	35004	30.296000	109.688000
14924	55092	34932	35084	29.848000	110.184000
15168	54480	34783	34865	30.336000	108.960000
14756	54952	34859	34849	29.512000	109.904000
14742	55027	34792	34977	29.484000	110.054000
15250	54552	35038	34764	30.500000	109.104000
15311	54647	35096	34862	30.622000	109.294000
15175	55043	35086	35132	30.350000	110.086000
15207	54503	34832	34878	30.414000	109.006000
14974	55160	35066	35068	29.948000	110.320000
15190	54613	34791	35012	30.380000	109.226000
14966	55336	35103	35199	29.932000	110.672000
15398	54790	35046	35142	30.796000	109.580000
14944	55316	35220	35040	29.888000	110.632000
15135	55096	35085	35146	30.270000	110.192000
15093	55314	34947	35460	30.186000	110.628000
14869	54993	35286	34576	29.738000	109.986000
15020	55770	35169	35621	30.040000	111.540000
15119	54785	34872	35032	30.238000	109.570000
15185	54928	34972	35141	30.370000	109.856000
15154	54410	34793	34771	30.308000	108.820000
14955	54760	34880	34835	29.910000	109.520000
14875	54884	35000	34759	29.750000	109.768000
15147	55002	35144	35005	30.294000	110.004000
15105	54603	34781	34927	30.210000	109.206000
15047	55025	34903	35169	30.094000	110.050000
15343	54589	34963	34969	30.686000	109.178000
15131	55034	35181	34984	30.262000	110.068000
14856	54844	34940	34760	29.712000	109.688000
14959	55308	35080	35187	29.918000	110.616000
15181	55084	35088	35177	30.362000	110.168000
15206	55179	35132	35253	30.412000	110.358000
14928	55808	35422	35314	29.856000	111.616000
15402	55004	35208	35198	30.804000	110.008000
14980	54586	34831	34735	29.960000	109.172000
15128	55036	35063	35101	30.256000	110.072000
14932	54632	34770	34794	29.864000	109.264000
15056	55241	35177	35120	30.112000	110.482000
14840	55223	35053	35010	29.680000	110.446000
15055	54689	34764	34980	30.110000	109.378000
15057	55192	35205	35044	30.114000	110.384000
15226	54938	35020	35144	30.452000	109.876000
15163	54843	34829	35177	30.326000	109.686000
14959	54629	34777	34811	29.918000	109.258000
15273	55271	35173	35371	30.546000	110.542000
15212	54648	35078	34782	30.424000	109.296000
14958	55249	35177	35030	29.916000	110.498000
15144	55050	35120	35074	30.288000	110.100000
15192	54973	34971	35194	30.384000	109.946000
14904	54833	34856	34881	29.808000	109.666000
