10x10 grid, p = 0.5, f = 0.25, 2500 steps
Ma D	Mi D	s+	s-
17774	62220	7.109600	24.888000
17674	62615	7.069600	25.046000
17712	62232	7.084800	24.892800
17808	62528	7.123200	25.011200
17857	62154	7.142800	24.861600
18052	62013	7.220800	24.805200
18057	61837	7.222800	24.734800
17951	62328	7.180400	24.931200
17728	61824	7.091200	24.729600
17826	61809	7.130400	24.723600
17504	61964	7.001600	24.785600
17665	62797	7.066000	25.118800
17583	61993	7.033200	24.797200
17696	62388	7.078400	24.955200
18144	62042	7.257600	24.816800
17952	62164	7.180800	24.865600
17970	62448	7.188000	24.979200
17663	62837	7.065200	25.134800
18087	62527	7.234800	25.010800
17969	62073	7.187600	24.829200
17481	61930	6.992400	24.772000
17973	62202	7.189200	24.880800
17869	62308	7.147600	24.923200
17753	62579	7.101200	25.031600
17744	62173	7.097600	24.869200
17818	62080	7.127200	24.832000
17753	62346	7.101200	24.938400
17952	62532	7.180800	25.012800
18040	62333	7.216000	24.933200
17831	63069	7.132400	25.227600
17674	62699	7.069600	25.079600
17931	62098	7.172400	24.839200
17957	62489	7.182800	24.995600
18049	62775	7.219600	25.110000
17449	62245	6.979600	24.898000
17813	62660	7.125200	25.064000
17689	62175	7.075600	24.870000
17735	62948	7.094000	25.179200
17940	61961	7.176000	24.784400
17976	61925	7.190400	24.770000
17711	62038	7.084400	24.815200
18002	62201	7.200800	24.880400
18184	62436	7.273600	24.974400
17635	62430	7.054000	24.972000
17958	62150	7.183200	24.860000
17749	62134	7.099600	24.853600
17562	62241	7.024800	24.896400
18136	62223	7.254400	24.889200
17853	62271	7.141200	24.908400
17716	62435	7.086400	24.974000
17916	61459	7.166400	24.583600
17891	62335	7.156400	24.934000
17831	62200	7.132400	24.880000
17892	62241	7.156800	24.896400
18019	62087	7.207600	24.834800
17911	61731	7.164400	24.692400
17617	62283	7.046800	24.913200
17742	62497	7.096800	24.998800
17796	62132	7.118400	24.852800
18106	62150	7.242400	24.860000
17600	62880	7.040000	25.152000
17822	62194	7.128800	24.877600
17692	62244	7.076800	24.897600
18045	62313	7.218000	24.925200
17691	62686	7.076400	25.074400
17651	62277	7.060400	24.910800
17670	62603	7.068000	25.041200
17972	62792	7.188800	25.116800
18098	61517	7.239200	24.606800
17654	62152	7.061600	24.860800
17597	62056	7.038800	24.822400
