20x20 grid, p = 0.43, f = 0.02, 500 steps
Ma D	Mi D	Red D	 Blue D	s+	s-
864	74767	37664	37967	1.728000	149.534000
877	74597	37694	37780	1.754000	149.194000
900	74736	37920	37716	1.800000	149.472000
848	74674	37629	37893	1.696000	149.348000
882	75201	38050	38033	1.764000	150.402000
904	74533	37718	37719	1.808000	149.066000
861	74500	37824	37537	1.722000	149.000000
913	74686	37867	37732	1.826000	149.372000
951	74777	37966	37762	1.902000	149.554000
937	74884	38048	37773	1.874000	149.768000
913	74703	37765	37851	1.826000	149.406000
902	74615	37724	37793	1.804000	149.230000
952	74307	37839	37420	1.904000	148.614000
881	75086	38140	37827	1.762000	150.172000
925	75010	38030	37905	1.850000	150.020000
870	75575	38296	38149	1.740000	151.150000
878	74782	37879	37781	1.756000	149.564000
872	74502	37717	37657	1.744000	149.004000
931	74583	37934	37580	1.862000	149.166000
884	74422	37647	37659	1.768000	148.844000
850	75327	38217	37960	1.700000	150.654000
944	74466	37693	37717	1.888000	148.932000
945	74418	37730	37633	1.890000	148.836000
884	75000	37909	37975	1.768000	150.000000
896	74484	37800	37580	1.792000	148.968000
950	74451	37860	37541	1.900000	148.902000
941	73847	37558	37230	1.882000	147.694000
937	74359	37724	37572	1.874000	148.718000
864	75117	38021	37960	1.728000	150.234000
936	74499	37856	37579	1.872000	148.998000
893	75391	38089	38195	1.786000	150.782000
862	74818	38036	37644	1.724000	149.636000
907	75124	37853	38178	1.814000	150.248000
986	73564	37276	37274	1.972000	147.128000
885	75070	38116	37839	1.770000	150.140000
877	75084	38123	37838	1.754000	150.168000
923	75353	38130	38146	1.846000	150.706000
949	74408	37915	37442	1.898000	148.816000
872	74747	37825	37794	1.744000	149.494000
873	74725	37824	37774	1.746000	149.450000
907	74643	37812	37738	1.814000	149.286000
852	75402	38156	38098	1.704000	150.804000
912	73517	37297	37132	1.824000	147.034000
932	74409	37582	37759	1.864000	148.818000
894	74206	37608	37492	1.788000	148.412000
838	75138	38064	37912	1.676000	150.276000
870	74891	37802	37959	1.740000	149.782000
853	75303	38127	38029	1.706000	150.606000
878	75107	37998	37987	1.756000	150.214000
863	74617	37820	37660	1.726000	149.234000
904	74553	37731	37726	1.808000	149.106000
906	74521	37586	37841	1.812000	149.042000
870	74741	37731	37880	1.740000	149.482000
908	75071	38033	37946	1.816000	150.142000
893	74491	37725	37659	1.786000	148.982000
871	74409	37521	37759	1.742000	148.818000
897	74644	37751	37790	1.794000	149.288000
905	75514	38269	38150	1.810000	151.028000
876	74348	37692	37532	1.752000	148.696000
887	74830	37808	37909	1.774000	149.660000
930	74859	37831	37958	1.860000	149.718000
910	74224	37543	37591	1.820000	148.448000
910	74842	37944	37808	1.820000	149.684000
853	74691	37795	37749	1.706000	149.382000
933	75136	37972	38097	1.866000	150.272000
889	73827	37226	37490	1.778000	147.654000
847	75179	37943	38083	1.694000	150.358000
892	75170	37984	38078	1.784000	150.340000
932	74272	37718	37486	1.864000	148.544000
865	74789	37756	37898	1.730000	149.578000
897	74895	37967	37825	1.794000	149.790000
871	74801	38056	37616	1.742000	149.602000
895	74574	37704	37765	1.790000	149.148000
868	74671	37817	37722	1.736000	149.342000
887	73986	37502	37371	1.774000	147.972000
883	74661	37736	37808	1.766000	149.322000
916	74966	38062	37820	1.832000	149.932000
876	74847	37972	37751	1.752000	149.694000
896	75356	38132	38120	1.792000	150.712000
938	74319	37545	37712	1.876000	148.638000
907	74241	37601	37547	1.814000	148.482000
915	74941	37981	37875	1.830000	149.882000
902	74527	37779	37650	1.804000	149.054000
894	74776	37875	37795	1.788000	149.552000
855	75492	37943	38404	1.710000	150.984000
874	75523	38047	38350	1.748000	151.046000
872	75052	37867	38057	1.744000	150.104000
904	74465	37685	37684	1.808000	148.930000
897	74491	37741	37647	1.794000	148.982000
901	75707	38318	38290	1.802000	151.414000
941	74780	37855	37866	1.882000	149.560000
912	75008	37969	37951	1.824000	150.016000
892	74088	37450	37530	1.784000	148.176000
898	75190	38005	38083	1.796000	150.380000
911	75332	37973	38270	1.822000	150.664000
865	74504	37696	37673	1.730000	149.008000
944	74549	37821	37672	1.888000	149.098000
926	74495	37710	37711	1.852000	148.990000
942	74278	37593	37627	1.884000	148.556000
906	74390	37733	37563	1.812000	148.780000
863	74764	37686	37941	1.726000	149.528000
900	74678	37756	37822	1.800000	149.356000
898	75108	37881	38125	1.796000	150.216000
834	74432	37614	37652	1.668000	148.864000
951	74676	38007	37620	1.902000	149.352000
918	74261	37437	37742	1.836000	148.522000
