10x10 grid, p = 0.03, f = 0.21, 1000 steps
Ma D	Mi D	s+	s-
392	1593	0.392000	1.593000
449	1599	0.449000	1.599000
419	1660	0.419000	1.660000
376	1423	0.376000	1.423000
408	1624	0.408000	1.624000
455	1659	0.455000	1.659000
426	1728	0.426000	1.728000
458	1698	0.458000	1.698000
397	1612	0.397000	1.612000
426	1648	0.426000	1.648000
411	1602	0.411000	1.602000
392	1652	0.392000	1.652000
446	1742	0.446000	1.742000
422	1643	0.422000	1.643000
421	1664	0.421000	1.664000
421	1676	0.421000	1.676000
469	1673	0.469000	1.673000
408	1515	0.408000	1.515000
411	1652	0.411000	1.652000
440	1595	0.440000	1.595000
396	1646	0.396000	1.646000
426	1661	0.426000	1.661000
432	1611	0.432000	1.611000
425	1625	0.425000	1.625000
485	1688	0.485000	1.688000
423	1553	0.423000	1.553000
406	1532	0.406000	1.532000
397	1680	0.397000	1.680000
437	1676	0.437000	1.676000
417	1644	0.417000	1.644000
452	1669	0.452000	1.669000
435	1614	0.435000	1.614000
438	1688	0.438000	1.688000
386	1689	0.386000	1.689000
438	1708	0.438000	1.708000
401	1641	0.401000	1.641000
436	1687	0.436000	1.687000
427	1655	0.427000	1.655000
395	1628	0.395000	1.628000
422	1616	0.422000	1.616000
447	1727	0.447000	1.727000
413	1599	0.413000	1.599000
451	1632	0.451000	1.632000
429	1634	0.429000	1.634000
400	1731	0.400000	1.731000
388	1602	0.388000	1.602000
397	1628	0.397000	1.628000
398	1652	0.398000	1.652000
432	1723	0.432000	1.723000
425	1719	0.425000	1.719000
390	1618	0.390000	1.618000
388	1664	0.388000	1.664000
410	1713	0.410000	1.713000
424	1588	0.424000	1.588000
436	1598	0.436000	1.598000
400	1644	0.400000	1.644000
444	1648	0.444000	1.648000
441	1716	0.441000	1.716000
457	1734	0.457000	1.734000
426	1634	0.426000	1.634000
413	1625	0.413000	1.625000
391	1556	0.391000	1.556000
409	1692	0.409000	1.692000
377	1648	0.377000	1.648000
367	1683	0.367000	1.683000
434	1687	0.434000	1.687000
406	1680	0.406000	1.680000
443	1657	0.443000	1.657000
417	1699	0.417000	1.699000
412	1727	0.412000	1.727000
423	1688	0.423000	1.688000
410	1742	0.410000	1.742000
416	1670	0.416000	1.670000
471	1787	0.471000	1.787000
395	1694	0.395000	1.694000
415	1660	0.415000	1.660000
399	1577	0.399000	1.577000
393	1627	0.393000	1.627000
370	1611	0.370000	1.611000
425	1643	0.425000	1.643000
426	1685	0.426000	1.685000
426	1629	0.426000	1.629000
477	1707	0.477000	1.707000
432	1589	0.432000	1.589000
398	1591	0.398000	1.591000
368	1650	0.368000	1.650000
393	1518	0.393000	1.518000
428	1555	0.428000	1.555000
408	1542	0.408000	1.542000
404	1568	0.404000	1.568000
381	1587	0.381000	1.587000
450	1670	0.450000	1.670000
407	1622	0.407000	1.622000
486	1692	0.486000	1.692000
434	1678	0.434000	1.678000
477	1670	0.477000	1.670000
434	1695	0.434000	1.695000
392	1591	0.392000	1.591000
426	1664	0.426000	1.664000
421	1731	0.421000	1.731000
392	1645	0.392000	1.645000
445	1724	0.445000	1.724000
404	1695	0.404000	1.695000
439	1629	0.439000	1.629000
411	1666	0.411000	1.666000
394	1616	0.394000	1.616000
461	1707	0.461000	1.707000
419	1676	0.419000	1.676000
446	1714	0.446000	1.714000
457	1704	0.457000	1.704000
405	1619	0.405000	1.619000
448	1626	0.448000	1.626000
384	1657	0.384000	1.657000
416	1681	0.416000	1.681000
419	1699	0.419000	1.699000
389	1675	0.389000	1.675000
445	1606	0.445000	1.606000
404	1645	0.404000	1.645000
430	1728	0.430000	1.728000
416	1552	0.416000	1.552000
448	1665	0.448000	1.665000
405	1658	0.405000	1.658000
372	1632	0.372000	1.632000
414	1741	0.414000	1.741000
410	1601	0.410000	1.601000
451	1740	0.451000	1.740000
417	1681	0.417000	1.681000
464	1614	0.464000	1.614000
404	1599	0.404000	1.599000
431	1691	0.431000	1.691000
402	1653	0.402000	1.653000
438	1548	0.438000	1.548000
453	1726	0.453000	1.726000
