20x20 grid, p = 0.7, redf = 0.4, bluef = 0.2, 500 steps
Ma D	Mi D	Red D	 Blue D	red s+	blue s+	s-
20830	62431	40927	42334	27.926000	13.734000	124.862000
21020	63709	41458	43271	27.836000	14.204000	127.418000
21146	63336	41509	42973	28.012000	14.280000	126.672000
20861	63399	41505	42755	27.776000	13.946000	126.798000
20717	63051	41397	42371	27.690000	13.744000	126.102000
21217	63373	41669	42921	28.186000	14.248000	126.746000
21021	63303	41415	42909	27.892000	14.150000	126.606000
21160	62031	41084	42107	28.280000	14.040000	124.062000
21134	63931	41947	43118	28.042000	14.226000	127.862000
21109	62887	41424	42572	28.208000	14.010000	125.774000
21101	63908	41933	43076	27.938000	14.264000	127.816000
20977	63495	41372	43100	27.910000	14.044000	126.990000
21223	63702	41873	43052	28.284000	14.162000	127.404000
20807	62100	40861	42046	27.740000	13.874000	124.200000
20875	62081	40843	42113	27.970000	13.780000	124.162000
20858	63426	41367	42917	27.650000	14.066000	126.852000
20856	62329	41115	42070	27.820000	13.892000	124.658000
21209	63719	41646	43282	28.090000	14.328000	127.438000
21102	63577	41454	43225	27.864000	14.340000	127.154000
21096	62861	41351	42606	28.106000	14.086000	125.722000
20990	63599	41646	42943	27.874000	14.106000	127.198000
21272	63150	41512	42910	28.272000	14.272000	126.300000
20948	62484	41073	42359	27.970000	13.926000	124.968000
21043	62955	41279	42719	27.956000	14.130000	125.910000
20672	63540	41310	42902	27.532000	13.812000	127.080000
21110	64078	41946	43242	28.092000	14.128000	128.156000
20701	63053	41332	42422	27.532000	13.870000	126.106000
21190	62776	41322	42644	28.176000	14.204000	125.552000
20940	63107	41384	42663	27.770000	14.110000	126.214000
20825	62823	41052	42596	27.874000	13.776000	125.646000
21114	62700	41288	42526	28.068000	14.160000	125.400000
21169	62877	41354	42692	28.080000	14.258000	125.754000
21167	62669	41313	42523	28.158000	14.176000	125.338000
21120	63547	41688	42979	28.084000	14.156000	127.094000
21150	62752	41492	42410	28.102000	14.198000	125.504000
20934	62347	40893	42388	27.824000	14.044000	124.694000
20993	62460	40928	42525	28.008000	13.978000	124.920000
21178	62555	41177	42556	28.300000	14.056000	125.110000
21285	63022	41616	42691	28.298000	14.272000	126.044000
20998	63159	41451	42706	28.024000	13.972000	126.318000
20959	62765	41246	42478	27.946000	13.972000	125.530000
20993	63385	41495	42883	27.938000	14.048000	126.770000
20892	62413	41115	42190	27.814000	13.970000	124.826000
21212	63463	41678	42997	28.202000	14.222000	126.926000
21176	63917	41679	43414	28.080000	14.272000	127.834000
21338	64408	41942	43804	28.184000	14.492000	128.816000
21085	63894	41687	43292	27.902000	14.268000	127.788000
20741	62423	40874	42290	27.600000	13.882000	124.846000
21218	63194	41596	42816	28.290000	14.146000	126.388000
21362	63529	41631	43260	28.284000	14.440000	127.058000
20748	62382	40992	42138	27.502000	13.994000	124.764000
20985	62817	41311	42491	27.978000	13.992000	125.634000
21032	62328	41141	42219	27.976000	14.088000	124.656000
20879	62507	41131	42255	27.982000	13.776000	125.014000
21465	63282	41550	43197	28.464000	14.466000	126.564000
21283	62732	41596	42419	28.222000	14.344000	125.464000
21111	63683	41628	43166	27.962000	14.260000	127.366000
20755	62393	40989	42159	27.508000	14.002000	124.786000
21203	63237	41712	42728	28.190000	14.216000	126.474000
21019	62401	41083	42337	27.974000	14.064000	124.802000
21407	63779	41852	43334	28.406000	14.408000	127.558000
21282	63089	41574	42797	28.206000	14.358000	126.178000
20855	62805	41178	42482	27.970000	13.740000	125.610000
21199	63404	41565	43038	28.038000	14.360000	126.808000
21120	63714	41707	43127	28.132000	14.108000	127.428000
20905	64303	41745	43463	27.936000	13.874000	128.606000
21225	63005	41433	42797	28.312000	14.138000	126.010000
20894	64234	41760	43368	27.666000	14.122000	128.468000
20763	63839	41446	43156	27.586000	13.940000	127.678000
20776	64054	41541	43289	27.494000	14.058000	128.108000
21245	62923	41314	42854	28.250000	14.240000	125.846000
20848	61831	40596	42083	27.780000	13.916000	123.662000
21148	62803	41307	42644	28.120000	14.176000	125.606000
21101	62913	41339	42675	27.992000	14.210000	125.826000
21094	63688	41666	43116	27.942000	14.246000	127.376000
20927	63026	41257	42696	27.826000	14.028000	126.052000
20889	62862	41166	42585	27.858000	13.920000	125.724000
20963	61912	40719	42156	28.068000	13.858000	123.824000
21367	62959	41445	42881	28.318000	14.416000	125.918000
20976	63136	41305	42807	27.992000	13.960000	126.272000
20831	62199	40901	42129	27.932000	13.730000	124.398000
20963	62992	41199	42756	27.896000	14.030000	125.984000
20972	62354	41016	42310	28.082000	13.862000	124.708000
21267	63015	41606	42676	28.246000	14.288000	126.030000
20952	63572	41459	43065	27.888000	14.016000	127.144000
21098	62583	41284	42397	28.148000	14.048000	125.166000
20999	63194	41438	42755	27.888000	14.110000	126.388000
20963	62127	41016	42074	28.000000	13.926000	124.254000
