Step	MinBlueDeath	MajBlueDeath	MinRedDeath	MajReadDeath
846	102	20	114	19
847	106	27	93	22
848	124	17	129	22
849	116	17	106	15
850	94	34	113	31
851	87	26	101	27
852	108	23	115	17
853	96	17	97	24
854	106	19	125	19
855	103	19	97	17
856	116	18	102	19
857	94	25	101	25
858	86	24	110	20
859	116	21	109	27
860	89	27	88	24
861	110	25	96	28
862	99	17	115	13
863	102	24	108	25
864	94	22	114	20
865	87	32	83	28
866	119	24	105	22
867	115	19	111	19
868	102	23	92	20
869	124	28	141	31
870	106	23	103	28
871	109	24	114	21
872	111	20	90	21
873	94	18	101	21
874	101	27	112	25
875	120	13	94	17
876	113	29	113	22
877	104	29	112	28
878	111	23	111	17
879	104	20	103	17
880	104	21	102	20
881	80	28	86	25
882	117	19	108	21
883	121	30	120	32
884	105	22	92	24
885	97	19	109	18
886	115	20	103	22
887	120	36	108	26
888	85	23	112	24
889	115	28	113	27
890	120	22	120	25
891	110	27	112	21
892	104	23	112	19
893	97	20	100	21
894	104	21	119	25
895	117	29	114	30
896	106	15	107	14
897	120	19	110	24
898	113	28	111	28
899	106	18	108	19
900	113	18	106	22
901	108	20	108	25
902	99	19	104	24
903	101	21	114	22
904	99	16	118	13
905	100	23	106	22
906	117	31	132	25
907	93	28	114	25
908	104	31	109	27
909	113	31	104	23
910	113	22	105	20
911	92	25	110	21
912	130	29	122	23
913	103	29	120	23
914	129	17	96	20
915	97	22	110	16
916	116	21	114	18
917	109	26	113	25
918	96	23	102	22
919	120	16	114	15
920	106	24	110	23
921	117	15	104	19
922	105	21	112	18
923	118	26	118	21
924	104	23	100	18
925	104	17	106	11
926	117	15	114	17
927	120	25	125	24
928	106	19	93	17
929	95	25	110	27
930	114	21	104	18
931	117	26	113	21
932	115	21	103	25
933	106	27	111	23
934	104	21	87	25
935	111	22	119	22
936	120	31	117	22
937	126	19	95	16
938	102	27	99	29
939	95	27	88	28
940	104	32	102	31
941	119	20	107	17
942	117	20	114	21
943	117	27	103	25
944	101	26	85	26
945	103	28	121	27
946	114	28	109	24
947	109	18	104	20
948	117	22	128	22
949	103	15	103	20
950	110	26	119	28
951	108	18	119	23
952	88	21	101	20
953	104	17	99	20
954	92	28	94	30
955	105	22	100	19
956	110	21	114	24
957	98	27	107	25
958	100	22	79	22
959	98	11	123	11
960	115	23	126	36
961	100	13	116	15
962	100	14	117	19
963	114	14	124	19
964	112	23	116	25
965	106	22	104	29
966	116	19	119	22
967	104	16	111	20
968	106	21	114	19
969	116	15	110	18
970	111	26	98	30
971	99	13	93	19
972	122	14	111	17
973	109	28	105	35
974	99	20	94	26
975	115	15	114	17
976	102	22	102	25
977	110	17	115	16
978	109	24	105	27
979	92	22	115	24
980	110	29	110	25
981	104	23	96	28
982	112	21	106	20
983	95	24	108	25
984	118	16	135	18
985	115	19	102	23
986	108	30	104	35
987	100	24	107	27
988	94	25	108	22
989	104	19	97	23
990	104	32	109	26
991	114	13	104	12
992	122	26	117	31
993	106	23	106	21
994	110	16	96	21
995	104	22	104	25
996	109	21	91	25
997	110	27	108	23
998	96	25	122	30
999	92	25	94	25
1000	95	25	104	30
1001	97	28	99	29
1002	114	20	91	22
1003	98	15	101	16
1004	98	13	96	19
1005	111	23	107	26
1006	114	16	105	19
1007	125	22	125	22
1008	94	27	113	25
1009	107	29	101	34
1010	107	22	109	25
1011	106	17	107	14
1012	111	21	101	21
1013	104	28	106	23
1014	109	25	119	26
1015	99	26	100	32
1016	102	25	117	24
1017	106	29	103	30
1018	106	29	123	22
1019	93	13	90	12
1020	124	27	106	29
1021	109	20	107	18
1022	117	28	132	25
1023	96	14	94	12
1024	100	18	103	20
1025	98	23	86	26
1026	127	18	110	23
1027	97	25	105	21
1028	103	25	101	20
1029	100	19	113	23
1030	100	26	104	25
1031	102	21	100	21
1032	117	30	101	24
1033	112	18	99	16
1034	116	26	105	20
1035	101	22	105	18
1036	95	27	111	29
1037	118	17	99	15
1038	110	30	105	28
1039	97	16	109	16
1040	97	19	116	22
1041	95	21	100	20
1042	97	26	101	23
1043	111	25	129	16
1044	95	16	89	14
1045	116	19	98	18
1046	111	20	112	18
1047	98	24	86	30
1048	98	24	118	24
1049	104	24	94	23
1050	104	27	93	26
1051	94	29	126	30
1052	96	17	106	24
1053	115	31	104	32
1054	96	16	101	15
1055	108	18	118	18
1056	92	28	110	17
1057	107	37	97	26
1058	108	26	115	19
1059	102	20	108	28
1060	104	28	108	22
1061	95	22	94	24
1062	103	37	96	31
1063	120	30	114	30
1064	89	17	104	13
1065	119	22	125	18
1066	108	14	120	12
1067	122	26	104	27
1068	95	17	109	18
1069	114	16	127	20
1070	95	21	102	23
1071	105	27	117	25
1072	91	26	102	29
1073	112	16	111	16
1074	103	28	111	23
1075	111	24	109	29
1076	103	16	111	16
1077	114	23	116	25
1078	116	24	98	30
1079	105	26	109	23
1080	104	24	110	23
1081	108	18	127	19
1082	92	19	95	21
1083	118	23	104	26
1084	91	16	82	17
1085	104	24	113	26
1086	108	23	93	23
1087	108	22	90	26
1088	120	13	127	10
1089	110	26	106	29
1090	105	22	102	24
1091	122	24	100	24
1092	100	17	101	19
1093	98	27	105	23
1094	96	38	104	40
1095	100	14	116	16
1096	125	24	99	28
1097	108	24	100	18
1098	105	25	83	25
1099	126	29	118	26
1100	97	24	99	31
1101	100	28	92	31
1102	111	21	108	24
1103	99	25	115	26
1104	102	28	105	27
1105	118	11	118	15
1106	103	14	105	12
1107	110	30	109	35
1108	106	18	113	26
1109	113	20	117	21
1110	97	31	114	27
1111	95	28	123	21
1112	111	23	98	25
1113	108	25	106	31
1114	110	16	98	19
1115	109	17	128	19
1116	118	26	95	26
1117	120	19	106	20
1118	104	24	120	29
1119	91	27	99	23
1120	96	24	94	18
1121	99	28	133	32
1122	91	23	102	20
1123	111	29	118	33
1124	115	22	100	26
1125	109	25	107	23
1126	104	24	96	18
1127	120	24	109	30
1128	122	15	103	21
1129	106	19	124	21
1130	107	14	101	14
1131	110	33	124	33
1132	102	11	104	15
1133	82	16	108	14
1134	107	24	110	24
1135	108	23	113	29
1136	113	26	116	29
1137	106	20	104	28
1138	123	19	119	19
1139	102	17	117	8
1140	101	20	106	25
1141	96	19	103	23
1142	105	24	122	23
1143	105	20	112	21
1144	99	19	104	14
1145	109	30	99	31
1146	122	18	98	25
1147	104	34	116	28
1148	115	14	96	16
1149	120	33	120	29
1150	97	23	98	31
1151	109	28	98	25
1152	106	20	101	17
1153	111	23	107	21
1154	107	14	110	12
1155	112	31	105	28
1156	88	22	96	22
1157	111	21	115	24
1158	107	13	118	16
1159	106	17	99	19
1160	113	27	113	22
1161	89	28	99	28
1162	115	30	100	31
1163	119	26	117	22
1164	109	15	93	17
1165	108	27	116	28
1166	105	18	109	18
1167	121	7	121	7
1168	111	17	104	12
1169	119	29	107	30
1170	117	19	100	20
1171	104	19	110	22
1172	126	24	107	21
1173	112	18	95	30
1174	97	28	102	20
1175	92	37	102	33
1176	106	14	106	15
1177	103	17	117	15
1178	109	21	107	20
1179	106	20	118	23
1180	112	26	119	24
1181	96	25	85	29
1182	111	29	106	25
1183	92	27	102	24
1184	105	21	109	28
1185	110	26	107	31
1186	109	19	114	20
1187	106	19	129	18
1188	98	27	102	29
1189	108	20	112	21
1190	114	19	89	23
1191	105	25	103	22
1192	106	31	110	41
1193	103	23	113	27
1194	93	16	91	21
1195	102	15	111	26
1196	104	20	98	22
1197	98	25	110	19
1198	93	17	112	20
1199	102	24	113	25
1200	105	23	110	24
1201	112	19	115	19
1202	98	15	97	19
1203	104	34	102	25
1204	111	12	121	10
1205	106	33	120	32
1206	86	26	94	28
1207	112	27	125	27
1208	104	22	108	26
1209	102	26	101	25
1210	108	26	109	26
1211	93	21	111	24
1212	115	24	121	16
1213	93	25	115	32
1214	112	21	100	22
1215	106	22	120	25
1216	105	32	120	33
1217	95	20	110	21
1218	111	18	115	15
1219	114	28	131	24
1220	110	24	118	22
1221	98	19	114	15
1222	110	25	118	23
1223	109	17	109	18
1224	105	33	113	23
1225	88	20	99	14
1226	130	31	89	29
1227	116	19	125	20
1228	122	18	106	16
1229	104	14	123	17
1230	103	15	96	16
1231	99	35	98	22
1232	105	26	112	24
1233	104	24	115	28
1234	104	30	113	31
1235	95	18	88	20
1236	94	21	107	20
1237	89	26	99	24
1238	103	23	118	25
1239	94	30	116	28
1240	116	19	96	17
1241	98	23	95	23
1242	115	32	132	27
1243	105	14	91	16
1244	116	17	101	17
1245	111	32	104	30
1246	113	14	96	13
1247	95	27	91	28
1248	107	28	99	29
1249	120	24	113	24
1250	114	16	98	18
1251	97	20	104	21
1252	113	20	106	18
1253	116	12	108	13
1254	117	24	129	21
1255	95	21	88	26
1256	105	20	105	28
1257	98	29	92	29
1258	114	26	103	30
1259	104	21	87	27
1260	104	14	101	10
1261	134	30	125	26
1262	98	26	92	32
1263	94	22	125	28
1264	100	22	109	23
1265	118	24	111	21
1266	118	12	116	16
1267	102	12	109	14
1268	101	19	137	14
1269	105	25	97	34
1270	111	15	114	23
1271	103	19	100	27
1272	102	26	107	30
1273	127	15	91	19
1274	101	20	107	21
1275	101	17	104	20
1276	101	24	111	16
1277	116	26	106	21
1278	105	18	93	22
1279	116	28	127	40
1280	94	20	105	19
1281	111	20	99	23
1282	113	17	118	19
1283	111	24	105	20
1284	97	22	116	21
1285	112	22	120	19
1286	119	30	127	27
1287	112	20	108	26
1288	105	19	105	22
1289	95	23	105	21
1290	121	19	105	20
1291	125	24	133	20
1292	99	29	104	24
1293	102	33	110	36
1294	124	15	116	16
1295	105	14	126	14
1296	115	26	113	27
1297	115	23	105	21
1298	130	22	102	20
1299	92	32	103	25
1300	104	22	118	17
1301	112	17	127	21
1302	107	20	117	19
1303	103	24	102	23
1304	108	23	104	21
1305	112	13	109	14
1306	119	34	123	30
1307	106	20	101	22
1308	103	18	123	15
1309	116	14	106	15
1310	94	26	109	24
1311	118	24	122	24
1312	120	18	107	24
1313	112	29	112	32
1314	110	28	110	26
1315	109	24	102	23
1316	98	26	123	21
1317	118	20	108	23
1318	112	18	108	21
1319	110	31	119	33
1320	104	15	113	18
1321	111	24	101	22
1322	102	21	89	16
1323	116	24	116	20
1324	116	18	110	17
1325	98	20	101	21
1326	109	20	119	17
1327	115	18	112	18
1328	101	16	119	18
1329	104	24	102	29
1330	106	11	99	12
1331	103	24	113	18
1332	104	31	98	26
1333	116	21	110	18
1334	132	15	119	15
1335	102	18	97	20
1336	103	21	105	29
1337	97	21	110	24
1338	111	13	94	12
1339	111	18	119	21
1340	105	26	117	23
1341	103	21	112	24
1342	103	22	124	24
1343	127	16	109	19
1344	113	27	108	21
